,DGUID,Code,distance
0,2021S051224580458,864275,172.81717455176826
1,2021S051224663237,762252,1389.5357452926203
2,2021S051224663036,763236,2925.6589205227046
3,2021S051224470168,866052,646.1316720948275
4,2021S051224650624,831150,1152.803547083911
5,2021S051224890069,784023,1130.7794501753
6,2021S051224420063,753053,3158.864940876662
7,2021S051224490238,873057,900.4716595559203
8,2021S051224470185,866052,309.5854805034972
9,2021S051224700133,868039,717.889364010191
10,2021S051224650444,831150,3899.661744172225
11,2021S051224860120,782019,4867.457614188927
12,2021S051224460085,866057,3266.9404322859823
13,2021S051224230921,733032,2655.6985934389677
14,2021S051224190055,821216,14506.857882556846
15,2021S051224310136,822045,2365.451125569447
16,2021S051224570154,864275,10089.494039024408
17,2021S051224230743,732161,3195.8844490168526
18,2021S051224662774,761092,445.87439399568416
19,2021S051224730026,851108,1041.5046076134724
20,2021S051224780145,853028,2315.847778663423
21,2021S051224660538,762281,1840.917289813303
22,2021S051224100093,712003,1107.1459020066552
23,2021S051224600157,841027,938.0491597360791
24,2021S051224740016,851106,684.4957614082253
25,2021S051224940379,724003,14912.577478270357
26,2021S051224050055,813022,3941.2338791147668
27,2021S051224990155,801014,604069.7104507956
28,2021S051224140091,714023,4591.888036662737
29,2021S051224150036,731002,604.769138598557
30,2021S051224280063,823046,4439.5113409961405
31,2021S051224570039,865174,940.2962556025399
32,2021S051224660076,762252,384.4955932995798
33,2021S051224663395,763139,1052.0703233182708
34,2021S051224080065,712005,56104.260361200664
35,2021S051224830066,774005,477.0489811439765
36,2021S051224730268,851106,70.26620847709282
37,2021S051224230038,734051,842.2720004181759
38,2021S051224400032,753012,460.24102896912535
39,2021S051224970074,792003,21381.145140289827
40,2021S051224710045,869004,1786.1531753339598
41,2021S051224470176,866051,1012.638636521769
42,2021S051224810222,772046,1569.9769287499475
43,2021S051224810217,772046,965.3953881076021
44,2021S051224662932,761070,1273.325372531078
45,2021S051224810425,771022,1067.9118024287409
46,2021S051224661799,762265,271.6721376218999
47,2021S051224230510,733030,1150.8676745743792
48,2021S051224663292,762256,608.7793212709526
49,2021S051224820021,771033,3243.4847200981553
50,2021S051224640319,851173,1274.3113875509675
51,2021S051224660195,761078,1827.076030915626
52,2021S051224810117,771035,441.27034553576914
53,2021S051224770107,853028,10058.020068748623
54,2021S051224661826,762248,706.9361896926611
55,2021S051224670020,867007,636.6181278583257
56,2021S051224010027,813007,226831.1568144114
57,2021S051224260036,821216,10044.59766499192
58,2021S051224660498,762276,543.7199563602671
59,2021S051224370270,741110,2155.035111364145
60,2021S051224260063,823074,2507.3525265832745
61,2021S051224470147,866050,612.0065009135199
62,2021S051224540164,862004,85.44828317583304
63,2021S051224650391,831150,2391.8546353840497
64,2021S051224780128,853001,8340.609379386104
65,2021S051224660089,762252,691.5741165213994
66,2021S051224661182,763142,999.8593715621922
67,2021S051224661825,762268,730.6540489931598
68,2021S051224661223,763142,0.0
69,2021S051224662553,762281,346.7407684189123
70,2021S051224940127,723173,1406.3478512485142
71,2021S051224550075,863069,4381.119870540219
72,2021S051224661798,762265,93.01364283799067
73,2021S051224050062,813027,16578.78480692241
74,2021S051224810256,772048,3144.111517811383
75,2021S051224830081,774003,3226.5788454166536
76,2021S051224250264,824214,4565.383211298756
77,2021S051224570163,864275,9000.831682387556
78,2021S051224600127,841027,1173.9138805729071
79,2021S051224310096,822045,0.0
