Code,School Name,lat,lon,Full Address,Code Postal,Aggregate Dissemination Area Code,Number of students
106501,Jean-de-Brébeuf,45.5014781419735,-73.6233195728619,"3200 Chemin de la Côte-Sainte-Catherine, Montréal, QC, Canada",H3T 1C9,24660146,1141
107501,Jean de la Mennais,45.4128169,-73.4814564,"870 Chemin de Saint-Jean, La Prairie, QC J5R 2E6, Canada",J5R 2E6,24670001,1518
114501,Jean-Eudes,45.5553531,-73.5787753,"3535 Boulevard Rosemont, Montréal, QC H1X 1K7, Canada",H1X 1K7,24660067,1788
115501,Jésus-Marie de Sillery,46.7784196,-71.2506974,"2047 Chemin Saint-Louis, Québec, QC G1T 1S6, Canada",G1T 1S6,24230052,595
116501,Collège Laval,45.615166,-73.649034,"1275 Avenue du Collège, Laval, QC H7C 1W8, Canada",H7C 1W8,24650007,2068
118501,Marie-de-l'Incarnation,46.3460544,-72.538279,"725 Rue Hart, Trois-Rivières, QC G9A 4R9, Canada",G9A 4R9,24370012,122
119501,Mont Notre-Dame,45.4019499676923,-71.8932601584615,"114 Rue de la Cathédrale, Sherbrooke, QC J1H 4M1, Canada",J1H 4M1,24430021,489
123501,Mont-Sacré-Coeur,45.3936326,-72.7100693,"210 Rue Denison Est, Granby, QC J2H 2R6, Canada",J2H 2R6,24470006,631
124501,Mont-Royal,45.5988097,-73.515753,"2165 Rue Baldwin, Montréal, QC H1L 5A7, Canada",H1L 5A7,24660019,496
125501,Mont-Saint-Louis,45.5676441,-73.6595232,"1700 Boulevard Henri-Bourassa Est, Montréal, QC H2C 1J3, Canada",H2C 1J3,24660078,1454
126501,Notre-Dame,45.4938225,-73.6208918,"3791 Chemin Queen Mary, Montréal, QC H3V 1A8, Canada",H3V 1A8,24660166,1758
127501,Notre-Dame-de-l'Assomption,46.2281955,-72.622223,"225 Rue Saint Jean Baptiste, Nicolet, QC J3T 1H4, Canada",J3T 1H4,24500002,306
128501,Notre-Dame-de-Lourdes,45.5135916338462,-73.5090626969231,"845 Chemin Tiffin, Longueuil, QC J4P 3G5, Canada",J4P 3G5,24580030,1092
136501,College Prep International,45.4541074,-73.6423265,"7475 Rue Sherbrooke Ouest, Montréal, QC H4B 1S5, Canada",H4B 1S5,24660203,63
138501,Citoyen,45.573611,-73.832595,"4001 Boulevard Sainte-Rose, Laval, QC, Canada",H7R 1V3,24650048,840
139501,Regina Assumpta,45.5657021,-73.6493432,"1750 Rue Sauriol East, Montréal, QC, Canada",H2C 1X4,24660071,2248
144501,Rivier,45.1376355857143,-71.7966831285714,"343 Rue Saint-Jacques Nord, Coaticook, QC, Canada",J1A 2R2,24440001,113
145501,Saint-Alexandre,45.4930301,-75.7501515154388,"2425 Rue Saint-Louis, Gatineau, QC J8V 1E7, Canada",J8V 1E7,24810037,1010
147501,Saint-Bernard,45.8818203,-72.4777343,"25 Avenue des Frères, Drummondville, QC J2B 6A2, Canada",J2B 6A2,24490011,773
148501,Saint-Charles-Garnier,46.7950996,-71.2449721243056,"1150 Boulevard René-Lévesque Ouest, Québec, QC G1S 1V7, Canada",G1S 1V7,24230050,814
149501,Saint-Hilaire,45.5723961976941,-73.155883819086,"800 Chemin Rouillard, Mont-Saint-Hilaire, QC J3G 4S6, Canada",J3G 4S6,24570009,668
1501,Antoine Manseau,46.0257138,-73.4375943,"P. 410, 20 Rue Saint-Charles-Borromée Sud C, Joliette, QC J6E 4T1, Canada",J6E 4T1,24610005,510
15503,Kuper,45.4520796,-73.8395781,"2975 Rue Edmond, Kirkland, QC H9H 5K5, Canada",H9H 5K5,24660246,534
157501,Saint-Jean-Vianney,45.6926234108892,-73.5223573451367,"12630 Boulevard Gouin Est, Montréal, QC H1C 1B9, Canada",H1C 1B9,24660002,1358
158501,Saint-Maurice,45.6304869142857,-72.9434146285714,"630 Rue Girouard Ouest, Saint-Hyacinthe, QC J2S 2Y3, Canada",J2S 2Y3,24540021,824
159501,Saint-Paul,45.6848132,-73.4425036,"235 Rue Sainte-Anne, Varennes, QC J3X 1R6, Canada",J3X 1R6,24590004,1009
164501,Sainte-Marcelline,45.5165044384689,-73.7454956670018,"9155 Boulevard Gouin Ouest, Montréal, QC, Canada",H4K 1C2,24660148,563
16501,Lafontaine,45.8042190318059,-74.0082697875995,"2171 Boulevard Maurice, Saint-Jérôme, QC J7Y 4M7, Canada",J7Y 4M7,24750008,1220
166501,Ville-Marie,45.5398138,-73.5590685,"2850 Rue Sherbrooke Est, Montréal, QC H2K 1H3, Canada",H2K 1H3,24660087,771
17501,Laurentienne,46.0148019118276,-74.1966192302455,"1200 14e Avenue, Val-Morin, QC J0T 2R0, Canada",J0T 2R0,24780006,264
188501,Beth Jacob d'Rav Hirschprung,45.5173764,-73.6237830457348,"1750 Avenue Glendale, Montréal, QC H2V 1B3, Canada",H2V 1B3,24660130,154
198503,Emmanuel Christian,45.4869668,-73.8489477,"4698 Boulevard Saint-Jean, Dollard-des-Ormeaux, QC H9H 4S5, Canada",H9H 4S5,24660227,169
204506,"Belz, Campus Jeanne-Mance",45.5197208,-73.5940523,"5030 Rue Jeanne-Mance, Montréal, QC H2V 4J8, Canada",H2V 4J8,24660118,201
219501,Miss Edgar's & Miss Cramp's,45.4909157,-73.596577,"525 Avenue Mount Pleasant, Westmount, QC H3Y 3H6, Canada",H3Y 3H6,24660161,144
226501,Jésus-Marie,46.2024693,-70.7664078,"670 9e Avenue, Beauceville, QC G5X 3P6, Canada",G5X 3P6,24270002,409
229501,Maïmonide (Jacob Safra),45.50030684,-73.6746615714286,"1900 Rue Bourdon, Montréal, QC, Canada",H4M 1V1,24660163,132
237501,Marcelle-Mallet,46.8103628,-71.185420945735,"51 Rue Déziel, Lévis, QC, Canada",G6V 3T6,24250005,673
244503,Marie-Clarac,45.5923673,-73.648843,"3641 Boulevard Gouin Est, Montréal, QC H1H 5L8, Canada",H1H 5L8,24660050,443
26501,Michèle-Provost,45.4984794606557,-73.5863491508197,"1517 Avenue des Pins Ouest, Montréal, QC H3G 1B3, Canada",H3G 1B3,24660132,231
266501,Notre Dame de Nareg,45.542211,-73.732803,"500 67e Av, Laval, QC, Canada",H7V 2M2,24650041,100
269501,Pasteur,45.5341388592593,-73.7187293962963,"12345 Avenue de la Miséricorde, Montréal, QC H4J 2E8, Canada",H4J 2E8,24660135,315
27501,Académie Saint-Louis,46.8299246,-71.316398,"1500 Rue de la Rive-Boisée Sud, Québec, QC G2C 2B3, Canada",G2C 2B3,24230081,1245
29501,L'Académie Sainte-Thérèse,45.6405977,-73.8160227,"425 Rue Blainville Est, Sainte-Thérèse, QC J7E 1W2, Canada",J7E 1W2,24730014,1045
304501,Les Trois Saisons,45.5937617,-73.4330348,"570 Boulevard de Mortagne, Boucherville, QC J4B 5E4, Canada",J4B 5E4,24580057,73
308501,St. George's,45.4938500272727,-73.5971338909091,"3100 Le Boulevard, Montréal, QC H3Y 1R9, Canada",H3Y 1R9,24660132,256
314501,Bromptonville,45.4712368,-71.9530959,"125 Rue du Frère-Théode, Sherbrooke, QC J1C 0S3, Canada",J1C 0S3,24430001,528
315501,du Verbe Divin,45.3964653807589,-72.773095728274,"P. 786, 1021 Rue Cowie C, Granby, QC, Canada",J2J 2E2,24470002,577
317501,François-Bourrin,46.8622401,-71.1946224,"50 Avenue des Cascades, Québec, QC G1E 2J7, Canada",G1E 2J7,24230012,426
321501,Jeanne-Normandin,45.6411059,-73.8640599,"4747 Rue Ambroise-Lafortune, Boisbriand, QC J7H 0A4, Canada",J7H 0A4,24730017,497
322501,Letendre,45.5605313,-73.7225046212552,"1000 Boulevard de l'Avenir, Laval, QC H7N 6J6, Canada",H7N 6J6,24650033,1849
323501,Marcellin-Champagnat,45.3186385,-73.2495291,"14 Chemin des Patriotes Est, Saint-Jean-sur-Richelieu, QC J2X 5P9, Canada",J2X 5P9,24560016,1194
324501,Collège d'Anjou,45.6116067,-73.5922380957447,"11000 Rue Renaude-Lapointe, Montréal, QC H1J 2V7, Canada",H1J 2V7,24660015,727
326501,Mont-Saint-Sacrement,46.976782,-71.502205,"200 Boulevard Saint Sacrement, Saint-Gabriel-de-Valcartier, QC, Canada",G0A 4S0,24220004,877
327501,Notre-Dame,47.8218691,-69.5351084,"56 Rue Saint-Henri, Rivière-du-Loup, QC G5R 2A1, Canada",G5R 2A1,24120005,573
335501,Saint-Joseph de Hull,45.431513,-75.710644,"174 Rue Notre-Dame-de-l'île, Gatineau, QC J8X 3T4, Canada",J8X 3T4,24810021,854
336501,Saint-Joseph,45.633856,-72.9634722,"2875 Avenue Bourdages Nord, Saint-Hyacinthe, QC J2S 5S3, Canada",J2S 5S3,24540022,1059
337501,Saint-Sacrement,45.694929,-73.637489,"901 Rue Saint-Louis, Terrebonne, QC J6W 1K1, Canada",J6W 1K1,24640015,1605
338502,Selwyn House,45.4857588,-73.5983726943502,"101 Chemin de la Côte-Saint-Antoine, Westmount, QC H3Y 3A3, Canada",H3Y 3A3,24660170,194
3501,Beth Rivkah,45.49452875,-73.6458361836943,"5001 Rue Vézina, Montréal, QC H3W 1C2, Canada",H3W 1C2,24660165,121
350501,Externat Sacré-Coeur,45.651161,-73.788291,"535 rue Lefrançois, Rosemère, QC, Canada",J7A 4R5,24730009,1207
352501,Externat Saint-Jean-Eudes,46.8782062,-71.2450152,"650 Avenue du Bourg-Royal, Québec, QC G2L 1M8, Canada",G2L 1M8,24230076,1109
364501,Greaves Adventist,45.4638771,-73.6228135,"2330 Avenue West Hill, Montréal, QC H4B 2S4, Canada",H4B 2S4,24660197,94
365501,Institut d'Enseignement,50.217296,-66.389085,"737 Avenue Gamache, Sept-Œles, QC G4R 2J8, Canada",G4R 2J8,24970012,231
367501,Reine-Marie,45.57285765,-73.6326006391296,"9300 Boulevard Saint-Michel, Montréal, QC, Canada",H1Z 3G9,24660058,1415
374501,Keranna,46.3581268,-72.6077793,"6205 Boulevard des Chenaux, Trois-Rivières, QC G8Y 6Z1, Canada",G8Y 6Z1,24370015,695
377501,Juvénat Notre-Dame du Saint-Laurent,46.7600709050523,-71.2370604233952,"30 Rue du Juvénat, Lévis, QC G6W 7X2, Canada",G6W 7X2,24250020,892
380501,Centennial,45.4936279,-73.5846119,"2065 Rue Sherbrooke Ouest, Montréal, QC H3H 1E3, Canada",H3H 1E3,24660132,162
380501,Centennial,45.4936279,-73.5846119,"2065 Rue Sherbrooke Ouest, Montréal, QC H3H 1E3, Canada",H3H 1E3,24660132,162
380503,"Centennial, française",45.4936279,-73.5846119,"2065 Rue Sherbrooke Ouest, Montréal, QC H3H 1E3, Canada",H3H 1E3,24660132,127
380503,"Centennial, française",45.4936279,-73.5846119,"2065 Rue Sherbrooke Ouest, Montréal, QC H3H 1E3, Canada",H3H 1E3,24660132,127
382501,Hebrew Academy,45.472514,-73.661455,"5700 Avenue Kellert, Côte Saint-Luc, QC H4W 1T4, Canada",H4W 1T4,24660194,214
384501,Ali Ibn Abi Talib,45.5283058,-73.6531972,"1610 Rue de Beauharnois Ouest, Montréal, QC H4N 1J5, Canada",H4N 1J5,24660121,145
385501,Arménienne Sourp Hagop,45.5312269,-73.6959767,"3400 Rue Nadon, Montréal, QC H4J 1P5, Canada",H4J 1P5,24660138,234
388501,Sacred Heart,45.4952779,-73.5883189,"3635 Avenue Atwater, Montréal, QC H3H 1B3, Canada",H3H 1B3,24660132,209
401501,Collège François-de-Laval,46.8152471,-71.2065663,"6 Rue de la Vieille-Université, Québec, QC, Canada",G1R 5X8,24230031,712
403504,"Skver, section française",45.522227,-73.616906,"940 Avenue Outremont, Montréal, QC H2V 4P8, Canada",H2V 4P8,24660130,93
404503,Bialik,45.4791413,-73.6583121,"6500 Chemin Kildare, Côte Saint-Luc, QC H4W 3B8, Canada",H4W 3B8,24660192,317
410501,Loyola,45.4562828,-73.63862,"7272 Rue Sherbrooke Ouest, Montréal, QC H4B 1R2, Canada",H4B 1R2,24660203,687
434501,Saint-Nom-de-Marie,45.5118213,-73.6128621315802,"628 Chemin de la Côte-Sainte-Catherine, Montréal, QC H2V 2C5, Canada",H2V 2C5,24660133,1261
